               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11845,            0.026292,            0.047934,            0.007513,             0.10247,           0.0037518,          0.00078103,              0.1012,            0.021545,            0.042203,             0.00021,             0.00021,             0.09811
                   1,            0.095152,            0.029493,            0.037298,            0.054768,             0.13272,             0.06568,            0.020482,            0.073207,            0.023928,            0.033561,          0.00042992,          0.00042992,             0.09613
                   2,            0.073132,            0.032113,            0.031127,             0.35355,             0.28179,             0.15741,            0.067796,            0.057805,            0.023573,            0.028581,          0.00064949,          0.00064949,            0.094149
                   3,            0.061425,            0.031669,            0.027649,             0.40243,             0.28148,             0.24637,             0.10988,            0.050832,            0.020152,            0.025397,          0.00086846,          0.00086846,            0.092168
                   4,            0.058439,            0.024278,            0.023804,             0.39389,             0.44466,             0.33615,             0.14332,             0.05086,            0.016248,            0.021174,           0.0010866,           0.0010866,            0.090187
                   5,            0.057065,            0.020978,            0.020702,              0.5385,             0.56309,             0.46602,             0.13683,            0.052542,            0.014187,            0.016878,           0.0013035,           0.0013035,            0.088204
                   6,            0.055367,            0.018916,            0.017396,             0.69449,             0.49424,             0.50082,             0.19719,             0.05265,            0.012867,            0.013181,           0.0015192,           0.0015192,            0.086219
                   7,            0.054465,             0.01712,            0.013276,             0.82615,             0.42956,             0.60805,             0.30079,            0.049258,            0.011675,           0.0097026,           0.0017331,           0.0017331,            0.084233
                   8,            0.050599,            0.016574,            0.010486,             0.53703,             0.71369,              0.6459,             0.30396,             0.04129,            0.011024,           0.0069717,           0.0019452,           0.0019452,            0.082245
                   9,              0.0509,            0.014958,           0.0085036,             0.60785,             0.74363,             0.74937,             0.32683,            0.040877,            0.010108,           0.0056754,           0.0021552,           0.0021552,            0.080255
                  10,             0.04942,            0.014612,           0.0073275,             0.58664,             0.83556,             0.74188,             0.37107,            0.038939,           0.0090964,           0.0045299,           0.0023628,           0.0023628,            0.078263
                  11,            0.046502,            0.013664,           0.0063063,             0.80439,               0.758,             0.80478,             0.45037,            0.038594,           0.0086186,           0.0043158,           0.0025678,           0.0025678,            0.076268
                  12,             0.04507,            0.013557,           0.0057038,             0.71392,             0.79854,             0.77912,             0.39233,            0.036292,           0.0080317,           0.0037411,           0.0027699,           0.0027699,             0.07427
                  13,            0.043314,            0.012858,           0.0051862,             0.78625,              0.8518,             0.84871,             0.45992,            0.033786,           0.0077321,           0.0033706,            0.002969,            0.002969,            0.072269
                  14,            0.042794,            0.012671,           0.0049417,             0.64758,             0.86889,             0.79302,              0.3601,            0.039917,           0.0076097,           0.0030344,           0.0031648,           0.0031648,            0.070265
                  15,            0.040707,            0.011887,           0.0048437,             0.87595,             0.82414,             0.89825,              0.5212,            0.032758,           0.0070589,           0.0028154,            0.003357,            0.003357,            0.068257
                  16,            0.039949,             0.01126,           0.0042188,             0.75085,             0.86456,             0.86811,             0.40446,            0.033255,           0.0069355,           0.0026442,           0.0035454,           0.0035454,            0.066245
                  17,            0.037978,             0.01097,           0.0039536,             0.84167,             0.80528,             0.86433,             0.42566,            0.031027,           0.0067364,           0.0027289,             0.00373,             0.00373,             0.06423
                  18,            0.038022,            0.010984,           0.0040187,             0.90917,             0.85522,             0.88657,             0.55994,            0.031243,           0.0065709,           0.0028007,           0.0039103,           0.0039103,             0.06221
                  19,            0.036711,            0.010591,            0.003603,             0.85905,             0.89655,             0.91683,             0.52692,            0.030048,           0.0064627,            0.002612,           0.0040864,           0.0040864,            0.060186
